2021-12-30 11:40:18 Agent ID: 1 | Bot Difficulty: 1 | Episode: [1/1] | food_used: 14.0 | army_count: 0.0 | collected_points: 205.0 | used_points: 1175.0 | killed_points: 0.0 | steps: 496.000s 
2021-12-30 11:40:19 Agent ID: 2 | Bot Difficulty: 1 | Episode: [1/1] | food_used: 12.0 | army_count: 0.0 | collected_points: 190.0 | used_points: 1100.0 | killed_points: 0.0 | steps: 496.000s 
2021-12-30 11:45:23 Agent ID: 1 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 15.0 | army_count: 0.0 | collected_points: 445.0 | used_points: 1250.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:45:26 Agent ID: 2 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 15.0 | army_count: 0.0 | collected_points: 415.0 | used_points: 1250.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:46:52 Agent ID: 1 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 14.0 | army_count: 0.0 | collected_points: 415.0 | used_points: 1375.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:46:58 Agent ID: 2 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 16.0 | army_count: 0.0 | collected_points: 470.0 | used_points: 1300.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:51:33 Agent ID: 1 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 15.0 | army_count: 0.0 | collected_points: 430.0 | used_points: 1250.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:51:37 Agent ID: 2 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 15.0 | army_count: 0.0 | collected_points: 425.0 | used_points: 1350.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:53:11 Agent ID: 1 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 14.0 | army_count: 0.0 | collected_points: 425.0 | used_points: 1300.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:53:17 Agent ID: 2 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 15.0 | army_count: 0.0 | collected_points: 425.0 | used_points: 1250.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:55:04 Agent ID: 1 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 14.0 | army_count: 0.0 | collected_points: 425.0 | used_points: 1300.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:55:06 Agent ID: 2 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 14.0 | army_count: 0.0 | collected_points: 415.0 | used_points: 1300.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:56:33 Agent ID: 1 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 13.0 | army_count: 0.0 | collected_points: 375.0 | used_points: 1350.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:56:35 Agent ID: 2 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 13.0 | army_count: 0.0 | collected_points: 415.0 | used_points: 1425.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:58:18 Agent ID: 1 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 14.0 | army_count: 0.0 | collected_points: 410.0 | used_points: 1300.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:58:19 Agent ID: 2 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 14.0 | army_count: 0.0 | collected_points: 425.0 | used_points: 1300.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:59:51 Agent ID: 1 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 13.0 | army_count: 0.0 | collected_points: 400.0 | used_points: 1325.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 11:59:52 Agent ID: 2 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 15.0 | army_count: 0.0 | collected_points: 470.0 | used_points: 1250.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 12:02:20 Agent ID: 1 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 15.0 | army_count: 0.0 | collected_points: 435.0 | used_points: 1250.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 12:02:22 Agent ID: 2 | Bot Difficulty: 1 | Episode: [1/2] | food_used: 12.0 | army_count: 0.0 | collected_points: 380.0 | used_points: 1375.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 12:03:50 Agent ID: 1 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 15.0 | army_count: 0.0 | collected_points: 450.0 | used_points: 1250.0 | killed_points: 0.0 | steps: 992.000s 
2021-12-30 12:03:52 Agent ID: 2 | Bot Difficulty: 1 | Episode: [2/2] | food_used: 15.0 | army_count: 0.0 | collected_points: 440.0 | used_points: 1350.0 | killed_points: 0.0 | steps: 992.000s 
